# Acesta este un export al documentului cu Statistica Pe Candidați de
# pe site-ul BEC oficial, de aici http://www.becparlamentare2012.ro/statistici%20rezultate%20finale.html
#
# Acest fișier este folosit de results_2012_import.php pentru a asocia
# un număr de voturi cu fiecare candidat în parte și a le adăuga în baza
# noastră de date în tabelele proprii.
#
# NUME,NumeCompetitor,Nr circumscriptie,Nume circ,Colegiu senat,Colegiu Deputati,Total voturi pe colegiu,Total alegatori prezenti,Voturi Obtinute de candidat,Mandat Atribuit,Procent
#
BIBOLAR HORAŢIU-MUGUR,PARTIDUL POPORULUI - DAN DIACONESCU,1,ALBA,1,,80870,84065,11839,0,14.64%
JOBBAGY EMESE,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,1,ALBA,1,,80870,84065,344,0,0.43%
BŐSZE LÁSZLÓ-ANTAL,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,1,ALBA,2,,47209,49291,282,0,0.60%
DOBRA NICOLAE,UNIUNEA SOCIAL LIBERALĂ,1,ALBA,2,,47209,49291,20829,0,44.12%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,32,0,0.12%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,147,0,0.54%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,87,0,0.32%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,17,0,0.06%
ATANASIU TEODOR,UNIUNEA SOCIAL LIBERALĂ,1,ALBA,1,,80870,84065,44376,1,54.87%
KOPENETZ LORAND-MÁRTON,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,ALBA,1,,80870,84065,1103,0,1.36%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,76,0,0.28%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",1,ALBA,,5,26996,28184,106,0,0.39%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,63,0,0.23%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,1,ALBA,,5,26996,28184,11,0,0.04%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,1,ALBA,,5,26996,28184,30,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,1,ALBA,,5,26996,28184,34,0,0.13%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,21,0,0.08%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,96,0,0.36%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,1,ALBA,,5,26996,28184,18,0,0.07%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,16,0,0.06%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,1,ALBA,,5,26996,28184,10,0,0.04%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,1,ALBA,,5,26996,28184,48,0,0.18%
SZŰCS ATILA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,ALBA,,5,26996,28184,433,0,1.60%
OLAR CORNELIU,ALIANŢA ROMÂNIA DREAPTĂ,1,ALBA,,5,26996,28184,6969,0,25.81%
MARINCAŞ ION,PARTIDUL POPORULUI - DAN DIACONESCU,1,ALBA,,5,26996,28184,3728,0,13.81%
KIRÁLY MELINDA,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,1,ALBA,,5,26996,28184,131,0,0.49%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,1,ALBA,,5,26996,28184,27,0,0.10%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,1,ALBA,,5,26996,28184,71,0,0.26%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,28,0,0.13%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,1,ALBA,,4,22391,23275,54,0,0.24%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,1,ALBA,,4,22391,23275,22,0,0.10%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,1,ALBA,,4,22391,23275,15,0,0.07%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,34,0,0.15%
DÎRZU IOAN,UNIUNEA SOCIAL LIBERALĂ,1,ALBA,,5,26996,28184,14825,1,54.92%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,1,ALBA,,4,22391,23275,26,0,0.12%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,13,0,0.06%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,14,0,0.06%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,1,ALBA,,4,22391,23275,15,0,0.07%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,255,0,1.14%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",1,ALBA,,4,22391,23275,193,0,0.86%
BUMB SORIN IOAN,ALIANŢA ROMÂNIA DREAPTĂ,1,ALBA,,4,22391,23275,6125,0,27.35%
COMŞA CORNEL-GEORGE,PARTIDUL POPORULUI - DAN DIACONESCU,1,ALBA,,4,22391,23275,3920,1,17.51%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,1,ALBA,,4,22391,23275,20,0,0.09%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,1,ALBA,,4,22391,23275,12,0,0.05%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,40,0,0.18%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,55,0,0.25%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,29,0,0.11%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,137,0,0.61%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,73,0,0.33%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,1,ALBA,,4,22391,23275,18,0,0.08%
COCLICI RADU-EUGENIU,UNIUNEA SOCIAL LIBERALĂ,1,ALBA,,4,22391,23275,9115,0,40.71%
KEREKES GHEORGHE-LEVENTE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,ALBA,,4,22391,23275,2207,0,9.86%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,1,ALBA,,3,27370,28613,69,0,0.25%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,1,ALBA,,3,27370,28613,31,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,1,ALBA,,3,27370,28613,23,0,0.08%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,48,0,0.18%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,138,0,0.50%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,71,0,0.26%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,19,0,0.07%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,21,0,0.08%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,1,ALBA,,3,27370,28613,33,0,0.12%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,146,0,0.53%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",1,ALBA,,3,27370,28613,212,0,0.77%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,49,0,0.18%
VASILE SORIN,PARTIDUL POPORULUI - DAN DIACONESCU,1,ALBA,,3,27370,28613,4216,0,15.40%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,1,ALBA,,3,27370,28613,29,0,0.11%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,1,ALBA,,3,27370,28613,32,0,0.12%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,72,0,0.26%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,1,ALBA,,3,27370,28613,81,0,0.30%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,1,ALBA,,3,27370,28613,53,0,0.19%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,1,ALBA,,2,24936,26016,21,0,0.08%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,1,ALBA,,2,24936,26016,5,0,0.02%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,44,0,0.18%
SIMEDRU DAN-CORIOLAN,UNIUNEA SOCIAL LIBERALĂ,1,ALBA,,3,27370,28613,14457,1,52.82%
KOVATS KRISZTIAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,ALBA,,3,27370,28613,246,0,0.90%
FULEA IOAN,ALIANŢA ROMÂNIA DREAPTĂ,1,ALBA,,3,27370,28613,7295,0,26.65%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,85,0,0.34%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,59,0,0.24%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,26,0,0.10%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",1,ALBA,,2,24936,26016,115,0,0.46%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,17,0,0.07%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,1,ALBA,,2,24936,26016,32,0,0.13%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,43,0,0.17%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,1,ALBA,,2,24936,26016,15,0,0.06%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,14,0,0.06%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,6,0,0.02%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,1,ALBA,,2,24936,26016,12,0,0.05%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,292,0,1.17%
SZABO DANIEL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,ALBA,,2,24936,26016,462,0,1.85%
NEGRUŢ CLEMENT,ALIANŢA ROMÂNIA DREAPTĂ,1,ALBA,,2,24936,26016,8762,1,35.14%
RONCEA RADU,PARTIDUL POPORULUI - DAN DIACONESCU,1,ALBA,,2,24936,26016,3258,0,13.07%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,1,ALBA,,2,24936,26016,29,0,0.12%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,1,ALBA,,2,24936,26016,11,0,0.04%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,1,ALBA,,2,24936,26016,32,0,0.13%
TOTH CSABA-COLOMAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,ALBA,,1,26365,27268,316,0,1.20%
NISTOR DORIN GHEORGHE,ALIANŢA ROMÂNIA DREAPTĂ,1,ALBA,,1,26365,27268,7860,0,29.81%
HUJA BOGDAN-NICOLAE,PARTIDUL ROMÂNIA MARE,1,ALBA,,1,26365,27268,430,0,1.63%
ŞERDEAN PAVEL-DORIN,PARTIDUL POPORULUI - DAN DIACONESCU,1,ALBA,,1,26365,27268,3423,0,12.98%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,1,ALBA,,1,26365,27268,43,0,0.16%
JIDVEIAN OVIDIU-VIOREL,UNIUNEA SOCIAL LIBERALĂ,1,ALBA,,2,24936,26016,11596,0,46.50%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,1,ALBA,,1,26365,27268,14,0,0.05%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,25,0,0.09%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,140,0,0.53%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,38,0,0.14%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,10,0,0.04%
POTOR CĂLIN,UNIUNEA SOCIAL LIBERALĂ,1,ALBA,,1,26365,27268,13610,1,51.62%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,1,ALBA,,1,26365,27268,39,0,0.15%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,119,0,0.45%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",1,ALBA,,1,26365,27268,84,0,0.32%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,1,ALBA,,1,26365,27268,30,0,0.11%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,1,ALBA,,1,26365,27268,13,0,0.05%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,1,ALBA,,1,26365,27268,26,0,0.10%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,1,21844,22632,19,0,0.09%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,1,21844,22632,15,0,0.07%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,1,21844,22632,8,0,0.04%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,1,21844,22632,30,0,0.14%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,1,21844,22632,45,0,0.21%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,1,21844,22632,34,0,0.16%
COJAN PETRU,PARTIDUL ROMÂNIA MARE,4,BACĂU,4,,60112,63339,1291,0,2.15%
KARDA LORAND,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,4,BACĂU,4,,60112,63339,209,0,0.35%
ISVORAN VASILE,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,4,,60112,63339,1101,0,1.83%
BUJOR DUMITRU-MARCEL,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,4,,60112,63339,13507,1,22.47%
KONNERT ZOLTAN-KÁZMÉR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,3,,43870,46007,210,0,0.48%
CĂSĂNEANU VASILICĂ-GABRIEL,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,3,,43870,46007,632,0,1.44%
DĂNILĂ FLORIN,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,3,,43870,46007,10295,0,23.47%
UMBRĂRESCU ŞTEFAN-SORIN,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,4,,60112,63339,6292,0,10.47%
DRĂGHICI DAMIAN,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,4,,60112,63339,37246,1,61.96%
KRISTÁLY TIBOR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,4,,60112,63339,466,0,0.78%
NISTOR VASILE,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,2,,49503,51549,32322,1,65.29%
PÓKA ANDREI-GHEORGHE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,2,,49503,51549,140,0,0.28%
CHELARU-POSTOLACHE CRISTIAN,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,2,,49503,51549,1523,0,3.08%
ILIE VASILE,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,2,,49503,51549,9166,0,18.52%
BUSUIOC COSTEL,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,3,,43870,46007,4097,0,9.34%
TĂTARU DAN,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,3,,43870,46007,28636,1,65.27%
LUCHIAN DRAGOŞ,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,1,,66947,69417,40174,1,60.01%
FÜLÖP ZOLTÁN LÁSZLÓ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,1,,66947,69417,155,0,0.23%
FILIP GELU,PARTIDUL ROMÂNIA MARE,4,BACĂU,1,,66947,69417,1833,0,2.74%
LUCA VIRGIL,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,1,,66947,69417,3166,0,4.73%
IANCU FLORENTINA-ADINA,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,1,,66947,69417,11394,0,17.02%
MARIAN ION,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,2,,49503,51549,6352,0,12.83%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,30,0,0.15%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,8,0,0.04%
MIHĂILĂ PETRICĂ,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,,10,19753,20929,1842,0,9.33%
VLASE PETRU GABRIEL,UNIUNEA SOCIAL LIBERALĂ,4,BACĂU,,10,19753,20929,12438,1,62.97%
POGAR LAURENŢIU,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,4,BACĂU,,10,19753,20929,130,0,0.66%
DRĂGĂNUŢĂ CONSTANTIN,ALIANŢA ROMÂNIA DREAPTĂ,4,BACĂU,1,,66947,69417,10225,0,15.27%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,10,19753,20929,64,0,0.32%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,21,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,10,19753,20929,24,0,0.12%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,10,19753,20929,33,0,0.17%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,10,19753,20929,26,0,0.13%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,10,19753,20929,107,0,0.54%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,17,0,0.09%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,4,BACĂU,,10,19753,20929,20,0,0.10%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,31,0,0.16%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,10,19753,20929,33,0,0.17%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,44,0,0.22%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,10,19753,20929,29,0,0.15%
ISVORANU CEZAR,PARTIDUL ECOLOGIST ROMÂN,4,BACĂU,,10,19753,20929,220,0,1.11%
DASCĂLU IOAN,PARTIDUL POPORULUI - DAN DIACONESCU,4,BACĂU,,10,19753,20929,4507,0,22.82%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,15,0,0.08%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,38,0,0.19%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,59,0,0.30%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,4,BACĂU,,10,19753,20929,17,0,0.09%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,4,BACĂU,,9,24059,25078,12,0,0.05%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,4,BACĂU,,9,24059,25078,23,0,0.10%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,4,BACĂU,,9,24059,25078,13,0,0.05%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",4,BACĂU,,9,24059,25078,30,0,0.12%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,25,0,0.10%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,8,0,0.03%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,13,0,0.05%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,4,BACĂU,,9,24059,25078,25,0,0.10%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,31,0,0.13%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,4,BACĂU,,9,24059,25078,25,0,0.10%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,4,BACĂU,,9,24059,25078,51,0,0.21%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,4,BACĂU,,9,24059,25078,52,0,0.22%
